Year,AnnualCO2emissions,AnnualCO2emissionsunitenergy,AnnualCO2emissionsperGDP,EnergyperGDP,GDPpercapita,Population,CO2emissionsmetrictonspercapita,CO2 emissions (kg per 2010 US$ of GDP),GDP per capita (constant 2010 US$)
2003,1059616164,0.2656,0.3298,1.242,3035.922607,1111523146,0.913962074,0.99110153,922.1679584
2004,1125471265,0.2601,0.3258,1.252,3212.510986,1129623466,0.962435743,0.982795493,979.283839
2005,1185953364,0.2588,0.3197,1.235,3396.648682,1147609924,0.991399583,0.952982646,1040.312316
2006,1259744276,0.2611,0.3131,1.199,3629.411133,1165486291,1.041839796,0.941200544,1106.92647
2007,1358152218,0.2594,0.3118,1.202,3870.698975,1183209471,1.129216789,0.961956333,1173.875311
2008,1462814598,0.2639,0.3179,1.204,4030.654297,1200669762,1.185904772,0.994459624,1192.511735
2009,1612816599,0.2707,0.3261,1.205,4270.708008,1217726217,1.288080997,1.015637139,1268.249208
2010,1677887585,0.2687,0.3157,1.175,4525.745605,1234281163,1.349214466,0.99384982,1357.563727
2011,1780129996,0.2692,0.3136,1.165,4768,1250287939,1.408315593,0.998503145,1410.426797
2012,1963586045,0.2824,0.33,1.169,4932,1265780243,1.507820975,1.026300653,1469.180566
2013,2036937081,0.2819,0.3223,1.143,5172,1280842119,1.535560059,0.99413189,1544.624083
2014,2185855918,0.2832,0.3236,1.143,5458,1295600768,1.649327519,1.005574063,1640.185025
2015,2268567478,0.2847,0.3125,1.098,5794,1310152392,1.641198393,0.93693652,1751.664449
2016,2382223220,0.2863,0.3067,1.071,6125,1324517250,1.648359053,0.878786759,1875.721312
2017,2433855754,0.2814,0.2941,1.045,6449.113281,1338676779,1.7191902,0.867403652,1981.995576
2018,2599805717,0.2824,0.2942,1.042,6806.498535,1352642283,1.799825446,0.861292813,2089.678931
2019,2625968148,0.2789,,,,1366417756,,,2152.216009
2020,2441792313,0.2748,,,,1380004385,,,1961.298711
2021,,,,,,1393409033,,,
